chunk	start_pos	end_pos	total_variation_ct	SNP_ct	neanderthal_indel_ct	human_indel_ct	variation_ct
1	16050037	16150036	0	126	5	7	131.0
2	16150037	16250036	0	167	3	9	170.0
3	16250037	16350036	0	206	9	10	215.0
4	16350037	16450036	0	274	10	10	284.0
5	16450037	16550036	0	105	0	2	105.0
6	16550037	16650036	0	122	2	3	124.0
7	16650037	16750036	0	62	4	2	66.0
8	16750037	16850036	0	31	0	3	31.0
9	16850037	16950036	0	1447	24	40	1471.0
10	16950037	17050036	0	821	13	21	834.0
11	17050037	17150036	0	228	5	21	233.0
12	17150037	17250036	0	234	2	6	236.0
13	17250037	17350036	0	170	12	13	182.0
14	17350037	17450036	0	390	14	18	404.0
15	17450037	17550036	0	136	10	5	146.0
16	17550037	17650036	0	187	20	26	207.0
17	17650037	17750036	0	330	22	37	352.0
18	17750037	17850036	0	299	26	38	325.0
19	17850037	17950036	0	346	32	29	378.0
20	17950037	18050036	0	228	25	24	253.0
21	18050037	18150036	0	346	30	33	376.0
22	18150037	18250036	0	248	18	28	266.0
23	18250037	18350036	0	220	17	15	237.0
24	18350037	18450036	0	218	5	16	223.0
25	18450037	18550036	0	266	16	20	282.0
26	18550037	18650036	0	181	9	23	190.0
27	18650037	18750036	0	313	6	8	319.0
28	18750037	18850036	0	166	8	6	174.0
29	18850037	18950036	0	446	19	16	465.0
30	18950037	19050036	0	244	21	21	265.0
31	19050037	19150036	0	274	18	25	292.0
32	19150037	19250036	0	264	30	18	294.0
33	19250037	19350036	0	149	13	17	162.0
34	19350037	19450036	0	172	8	18	180.0
35	19450037	19550036	0	154	8	26	162.0
36	19550037	19650036	0	312	16	21	328.0
37	19650037	19750036	0	313	12	23	325.0
38	19750037	19850036	0	156	15	9	171.0
39	19850037	19950036	0	323	13	20	336.0
40	19950037	20050036	0	174	13	15	187.0
41	20050037	20150036	0	240	15	11	255.0
42	20150037	20250036	0	380	11	9	391.0
43	20250037	20350036	0	190	11	7	201.0
44	20350037	20450036	0	99	2	2	101.0
45	20450037	20550036	0	54	0	0	54.0
46	20550037	20650036	0	27	0	1	27.0
47	20650037	20750036	0	269	11	10	280.0
48	20750037	20850036	0	184	16	21	200.0
49	20850037	20950036	0	201	16	18	217.0
50	20950037	21050036	0	271	17	26	288.0
51	21050037	21150036	0	132	4	19	136.0
52	21150037	21250036	0	146	15	25	161.0
53	21250037	21350036	0	239	21	31	260.0
54	21350037	21450036	0	240	7	16	247.0
55	21450037	21550036	0	179	4	9	183.0
56	21550037	21650036	0	155	3	5	158.0
57	21650037	21750036	0	102	4	3	106.0
58	21750037	21850036	0	63	4	5	67.0
59	21850037	21950036	0	106	3	15	109.0
60	21950037	22050036	0	128	8	23	136.0
61	22050037	22150036	0	127	22	24	149.0
62	22150037	22250036	0	131	14	29	145.0
63	22250037	22350036	0	144	9	15	153.0
64	22350037	22450036	0	234	12	21	246.0
65	22450037	22550036	0	270	11	15	281.0
66	22550037	22650036	0	526	25	26	551.0
67	22650037	22750036	0	444	13	16	457.0
68	22750037	22850036	0	345	21	13	366.0
69	22850037	22950036	0	319	24	32	343.0
70	22950037	23050036	0	307	10	14	317.0
71	23050037	23150036	0	423	15	15	438.0
